brew_name,brew_loc,brew_tel,brew_des
Martin House Brewing Company,Fort Worth,,
Right Brain Brewery,Traverse City,,
Sly Fox Brewing Company,Phoenixville,,
Round Guys Brewing,Lansdale,,
Great Crescent Brewery,Aurora,,
Oskar Blues Brewery,Longmont,,
Boxcar Brewing Company,West Chester,,
High Hops Brewery,Windsor,,
Crooked Fence Brewing Company,Garden City,,
Everybody's Brewing,White Salmon,,
Anderson Valley Brewing Company,Boonville,,
Fiddlehead Brewing Company,Shelburne,,
Evil Twin Brewing,Brooklyn,,
New Orleans Lager & Ale Brewing ...,New Orleans,,
Spiteful Brewing Company,Chicago,,
Rahr & Sons Brewing Company,Fort Worth,,
18th Street Brewery,Gary,,
Cambridge Brewing Company,Cambridge,,
Carolina Brewery,Pittsboro,,
Frog Level Brewing Company,Waynesville,,
Wild Wolf Brewing Company,Nellysford,,
COOP Ale Works,Oklahoma City,,
Seventh Son Brewing Company,Columbus,,
Oasis Texas Brewing Company,Austin,,
Vander Mill Ciders,Spring Lake,,
St. Julian Winery,Paw Paw,,
Pedernales Brewing Company,Fredericksburg,,
Mother's Brewing,Springfield,,
Modern Monks Brewery,Lincoln,,
Two Beers Brewing Company,Seattle,,
Snake River Brewing Company,Jackson,,
Capital Brewery,Middleton,,
Anthem Brewing Company,Oklahoma City,,
Goodlife Brewing Co.,Bend,,
Breakside Brewery,Portland,,
Goose Island Brewery Company,Chicago,,
Burnside Brewing Co.,Portland,,
Hop Valley Brewing Company,Springfield,,
Worthy Brewing Company,Bend,,
Occidental Brewing Company,Portland,,
Fearless Brewing Company,Estacada,,
Upland Brewing Company,Bloomington,,
Mehana Brewing Co.,Hilo,,
Hawai'i Nui Brewing Co.,Hilo,,
People's Brewing Company,Lafayette,,
Fort George Brewery,Astoria,,
Branchline Brewing Company,San Antonio,,
Kalona Brewing Company,Kalona,,
Modern Times Beer,San Diego,,
Temperance Beer Company,Evanston,,
Wisconsin Brewing Company,Verona,,
Crow Peak Brewing Company,Spearfish,,
Grapevine Craft Brewery,Farmers Branch,,
Buffalo Bayou Brewing Company,Houston,,
Texian Brewing Co.,Richmond,,
Orpheus Brewing,Atlanta,,
Forgotten Boardwalk,Cherry Hill,,
Laughing Dog Brewing Company,Ponderay,,
Bozeman Brewing Company,Bozeman,,
Big Choice Brewing,Broomfield,,
Big Storm Brewing Company,Odessa,,
Carton Brewing Company,Atlantic Highlands,,
Midnight Sun Brewing Company,Anchorage,,
Fat Head's Brewery,Middleburg Heights,,
Refuge Brewery,Temecula,,
Chatham Brewing,Chatham,,
DC Brau Brewing Company,Washington,,
Geneva Lake Brewing Company,Lake Geneva,,
Rochester Mills Brewing Company,Rochester,,
Cape Ann Brewing Company,Gloucester,,
Borderlands Brewing Company,Tucson,,
College Street Brewhouse and Pub,Lake Havasu City,,
Joseph James Brewing Company,Henderson,,
Harpoon Brewery,Boston,,
Back East Brewing Company,Bloomfield,,
Champion Brewing Company,Charlottesville,,
Devil's Backbone Brewing Company,Lexington,,
Newburgh Brewing Company,Newburgh,,
Wiseacre Brewing Company,Memphis,,
Golden Road Brewing,Los Angeles,,
New Republic Brewing Company,College Station,,
Infamous Brewing Company,Austin,,
Two Henrys Brewing Company,Plant City,,
Lift Bridge Brewing Company,Stillwater,,
Lucky Town Brewing Company,Jackson,,
Quest Brewing Company,Greenville,,
Creature Comforts,Athens,,
Half Full Brewery,Stamford,,
Southampton Publick House,Southampton,,
Chapman's Brewing,Angola,,
Barrio Brewing Company,Tucson,,
Santa Cruz Mountain Brewing,Santa Cruz,,
Frankenmuth Brewery,Frankenmuth,,
Meckley's Cidery,Somerset Center,,
Stillwater Artisanal Ales,Baltimore,,
Finch's Beer Company,Chicago,,
South Austin Brewery,South Austin,,
Bauhaus Brew Labs,Minneapolis,,
Ozark Beer Company,Rogers,,
Mountain Town Brewing Company ,Mount Pleasant,,
Otter Creek Brewing,Waterbury,,
The Brewer's Art,Baltimore,,
Denver Beer Company,Denver,,
Ska Brewing Company,Durango,,
Tractor Brewing Company,Albuquerque,,
Peak Organic Brewing Company,Portland,,
Cape Cod Beer,Hyannis,,
Long Trail Brewing Company,Bridgewater Corners,,
Great Raft Brewing Company,Shreveport,,
Alaskan Brewing Company,Juneau,,
Notch Brewing Company,Ipswich,,
The Alchemist,Waterbury,,
Three Notch'd Brewing Company,Charlottesville,,
Portside Brewery,Cleveland,,
Otter Creek Brewing,Middlebury,,
Montauk Brewing Company,Montauk,,
Indeed Brewing Company,Minneapolis,,
Berkshire Brewing Company,South Deerfield,,
Foolproof Brewing Company,Pawtucket,,
Headlands Brewing Company,Mill Valley,,
Bolero Snort Brewery,Ridgefield Park,,
Thunderhead Brewing Company,Kearney,,
Defiance Brewing Company,Hays,,
Milwaukee Brewing Company,Milwaukee,,
Catawba Island Brewing,Port Clinton,,
Back Forty Beer Company,Gadsden,,
Four Corners Brewing Company,Dallas,,
Saint Archer Brewery,San Diego,,
Rogue Ales,Newport,,
Hale's Ales,Seattle,,
Tommyknocker Brewery,Idaho Springs,,
Baxter Brewing Company,Lewiston,,
Northampton Brewery,Northamtpon,,
Black Shirt Brewing Company,Denver,,
Wachusett Brewing Company,Westminster,,
Widmer Brothers Brewing Company,Portland,,
Hop Farm Brewing Company,Pittsburgh,,
Liquid Hero Brewery,York,,
Matt Brewing Company,Utica,,
Boston Beer Company,Boston,,
Old Forge Brewing Company,Danville,,
Utah Brewers Cooperative,Salt Lake City,,
Magic Hat Brewing Company,South Burlington,,
Blue Hills Brewery,Canton,,
Night Shift Brewing,Everett,,
Beach Brewing Company,Virginia Beach,,
Payette Brewing Company,Garden City,,
Brew Bus Brewing,Tampa,,
Sockeye Brewing Company,Boise,,
Pine Street Brewery,San Francisco,,
Dirty Bucket Brewing Company,Woodinville,,
Jackalope Brewing Company,Nashville,,
Slanted Rock Brewing Company,Meridian,,
Piney River Brewing Company,Bucryus,,
Cutters Brewing Company,Avon,,
Iron Hill Brewery & Restaurant,Wilmington,,
Marshall Wharf Brewing Company,Belfast,,
Banner Beer Company,Williamsburg,,
Dick's Brewing Company,Centralia,,
Claremont Craft Ales,Claremont,,
Rivertown Brewing Company,Lockland,,
Voodoo Brewery,Meadville,,
D.L. Geary Brewing Company,Portland,,
Pisgah Brewing Company,Black Mountain,,
Neshaminy Creek Brewing Company,Croydon,,
Morgan Street Brewery,Saint Louis,,
Half Acre Beer Company,Chicago,,
The Just Beer Project,Burlington,,
The Bronx Brewery,Bronx,,
Dead Armadillo Craft Brewing,Tulsa,,
Catawba Brewing Company,Morganton,,
La Cumbre Brewing Company,Albuquerque,,
David's Ale Works,Diamond Springs,,
